Date,Open,High,Low,Close,Adj Close,Volume
2004-01-01,26.850000,27.100000,25.010000,25.510000,17.241215,22153600
2004-02-01,25.549999,27.059999,24.930000,26.840000,18.140108,16586800
2004-03-01,26.969999,27.340000,24.809999,26.129999,17.660255,36472300
2004-04-01,26.299999,26.840000,24.809999,24.920000,16.901196,26141300
2004-05-01,24.969999,25.730000,23.590000,25.620001,17.375950,33526000
2004-06-01,25.590000,26.820000,25.110001,26.780001,18.162680,12897900
2004-07-01,26.780001,26.780001,25.070000,26.170000,17.832136,18945700
2004-08-01,26.030001,26.910000,24.990000,26.610001,18.131943,20590800
2004-09-01,26.549999,27.580000,26.150000,27.549999,18.772453,20535100
2004-10-01,27.490000,28.180000,26.219999,27.290001,18.682673,27412600
2004-11-01,27.400000,29.830000,27.160000,29.510000,20.202459,15544800
2004-12-01,29.559999,29.990000,28.309999,29.730000,20.353071,20247600
2005-01-01,29.790001,29.900000,28.150000,28.820000,19.845959,17476600
2005-02-01,28.750000,31.400000,28.750000,31.090000,21.409130,22519500
2005-03-01,31.299999,32.000000,29.400000,30.160000,20.768717,40881500
2005-04-01,30.010000,30.520000,27.190001,28.010000,19.354486,52814000
2005-05-01,28.020000,28.990000,26.700001,27.830000,19.230120,48820400
2005-06-01,27.830000,29.100000,27.000000,27.139999,18.753332,54379200
2005-07-01,27.200001,28.969999,26.700001,28.639999,19.886744,49573600
2005-08-01,28.600000,29.549999,27.020000,27.440001,19.053499,57804400
2005-09-01,27.500000,28.110001,26.750000,27.500000,19.095154,51642200
2005-10-01,27.530001,27.889999,25.930000,27.559999,19.242069,54245300
2005-11-01,27.700001,30.030001,27.100000,29.670000,20.715240,46132700
2005-12-01,29.760000,30.760000,29.530001,30.280001,21.141142,35717300
2006-01-01,30.110001,31.930000,30.090000,31.740000,22.335323,49170500
2006-02-01,31.850000,32.000000,30.459999,31.059999,21.856806,55406300
2006-03-01,31.030001,33.020000,30.500000,32.349998,22.764576,80465900
2006-04-01,32.709999,34.520000,32.560001,33.500000,23.689383,62892800
2006-05-01,33.650002,35.349998,30.950001,32.150002,22.734737,104428400
